,0
0,-1.7149562925416153
1,-0.397612882637827
2,1.8596354760369773
3,4.438060545193359
4,4.964585058354302
5,5.818373168369553
6,6.583874260877689
7,7.1070115097200866
8,8.318130257081982
9,5.927803492288877
10,9.347074267920263
11,10.03862115926566
12,10.901237015342527
13,12.024951203086797
14,10.081148381642452
15,9.93221865236142
16,10.81187119343057
17,9.847725691629213
18,9.62384406457028
19,9.774029525317255
20,7.298380607314604
21,7.6640246196191715
22,9.274154282074939
23,5.979152152087132
24,7.4522981036989915
25,4.634952598240865
26,6.661461124635371
27,4.035971769827136
28,2.5912678485411282
29,2.812605953660437
30,0.9450009568698249
31,0.49099376339521206
32,-1.5925068140429293
33,-1.7141378557219185
34,-3.737143654516922
35,-3.198967613211628
36,-5.1320169466751535
37,-5.435827085714764
38,-5.897648949970564
39,-5.901259981579349
40,-7.659225683979818
41,-6.737912330087438
42,-10.139215264626799
43,-8.57648841705731
44,-11.07039369525352
45,-8.073061012614884
46,-11.562474784880152
47,-9.03326670294602
48,-11.667272016297646
49,-9.714716204154398
50,-9.268964106831593
51,-10.84231016294636
52,-7.887748165650815
53,-6.018698102865612
54,-8.187779596508436
55,-5.945719172931744
56,-7.4309243670622465
57,-5.054315099624944
58,-2.823417393652128
59,-3.5943751104106685
60,-2.8154943752002257
61,-3.3765754636896204
62,-1.633241419943809
63,0.5623152620885574
64,1.8688801422602674
65,1.2776627402190215
66,4.198196749667179
67,3.95030631466215
68,4.037399760969472
69,6.678111404521621
70,6.9981989777172044
71,7.360406573231894
72,8.084024152547059
73,8.637761674627882
74,10.351890024291553
75,10.247081889152723
76,9.015957109065498
77,10.077586935409766
78,10.30570392088379
79,9.99733867969494
80,7.6849167215307475
81,8.280759575442328
82,9.759936471208537
83,9.097790629121112
84,7.606019205968288
85,8.800872351553284
86,7.295899480063189
87,6.252759775281335
88,6.357196351576377
89,5.561934838540246
90,4.6435598807545295
91,1.9625390613086366
92,0.17039429397918537
93,1.750370657842498
94,-0.8597115130308661
95,-1.2435541241984915
96,-0.5756523726427432
97,-3.923265607454341
98,-3.4893394903165253
99,-5.074658136968983
100,-6.326535089703304
101,-8.032533141941034
102,-6.572521793877979
103,-9.023036964543916
104,-8.597874283990299
105,-8.718424954311674
106,-9.051875121936984
107,-11.088625562870153
108,-9.967477222888917
109,-8.864419393927404
110,-9.797933323299686
111,-9.82111084617683
112,-9.870020573045734
113,-9.87714100068091
114,-10.297508691583495
115,-7.373645530260609
116,-8.610242021332777
117,-7.444680836277363
118,-5.829725328540158
119,-5.800272968824602
120,-5.498589270383984
121,-3.1217291550106157
122,-3.6804149536634805
123,0.0010557586929396123
124,-0.6928280262629916
125,-0.18956808913817047
126,1.8008144436466276
127,1.9641482732324445
128,2.6935263227561905
129,3.031390500370987
130,4.337936517249436
131,4.755138640913524
132,5.47835677468369
133,6.0063248666766285
134,6.439830106112056
135,7.980379627334293
136,8.71803131131024
137,8.587582737784576
138,9.04604516902549
139,10.67990877310404
140,9.546864822730974
141,10.329929620819886
142,10.15410217333581
143,10.331057150478085
144,9.833917683527153
145,7.792570837079582
146,9.075383436633944
147,10.791868178554449
148,8.290317836567372
149,6.439516361129265
150,5.30438940023191
151,6.434155794668335
152,3.9029142757573405
153,4.80540278933676
154,4.441422571123645
155,2.8423766019220653
156,3.8190382561463867
157,0.04614577781713977
158,1.8680396399986994
159,-1.3106976293922223
160,-2.8421908769457853
161,-5.03889389034271
162,-4.986979382513605
163,-4.774080308255004
164,-7.349226266541335
165,-7.776865834909856
166,-7.286192535522078
167,-9.819035443292396
168,-8.443289110747267
169,-10.004551260844318
170,-8.682816345563268
171,-10.564794855560411
172,-10.604800804235616
